Alternative,Subset,g1,g2,g3,g4,g5,Class
a2566,WHI,0.37,0.048,240,0.99902,8.9,Cl1
a2567,WHI,0.21,0.021,80,0.98992,12.3,Cl2
a2568,WHI,0.24,0.028,132,0.99182,11.4,Cl1
a2569,WHI,0.28,0.043,207,0.99556,9.6,Cl2
a2570,WHI,0.24,0.034,135,0.99582,10.3,Cl2
a2571,WHI,0.24,0.028,132,0.99182,11.4,Cl1
a2572,WHI,0.16,0.032,80,0.98972,12.1,Cl2
a2573,WHI,0.14,0.026,56,0.99352,9.9,Cl1
a2574,WHI,0.34,0.035,185,0.9946,9.7,Cl1
a2575,WHI,0.26,0.043,154,0.99273,10.5,Cl1
a2576,WHI,0.17,0.038,182,0.99628,8.9,Cl2
a2577,WHI,0.27,0.039,227,0.99582,9.4,Cl1
a2578,WHI,0.25,0.037,206,0.99553,9.6,Cl1
a2579,WHI,0.3,0.014,104,0.98914,12.6,Cl2
a2580,WHI,0.28,0.156,106,0.99354,9.2,Cl2
a2581,WHI,0.3,0.053,174,0.99976,10.4,Cl1
a2582,WHI,0.18,0.062,171,0.99808,9,Cl2
a2583,WHI,0.18,0.062,171,0.99808,9,Cl2
a2584,WHI,0.18,0.062,171,0.99808,9,Cl2
a2585,WHI,0.18,0.062,171,0.99808,9,Cl2
a2586,WHI,0.18,0.062,171,0.99808,9,Cl2
a2587,WHI,0.18,0.062,171,0.99808,9,Cl2
a2588,WHI,0.14,0.039,89,0.9919,9.2,Cl2
a2589,WHI,0.18,0.062,171,0.99808,9,Cl2
a2590,WHI,0.615,0.068,154,0.99499,9.7,Cl1
a2591,WHI,0.13,0.05,132,0.99655,10.1,Cl2
a2592,WHI,0.34,0.059,152,0.99615,11,Cl2
a2593,WHI,0.32,0.038,144,0.99296,10.8,Cl1
a2594,WHI,0.21,0.048,147,0.99482,10.8,Cl1
a2595,WHI,0.5,0.028,107,0.99079,13.5,Cl2
a2596,WHI,0.52,0.042,167,0.99366,10.6,Cl1
a2597,WHI,0.28,0.046,208,0.99434,9.8,Cl1
a2598,WHI,0.22,0.023,115,0.98958,11.7,Cl2
a2599,WHI,0.28,0.046,208,0.99434,9.8,Cl1
a2600,WHI,0.32,0.034,185,0.99938,9,Cl2
a2601,WHI,0.11,0.042,132,0.99059,11.3,Cl2
a2602,WHI,0.26,0.031,185,0.99835,9.4,Cl1
a2603,WHI,0.22,0.023,115,0.98958,11.7,Cl2
a2604,WHI,0.3,0.025,107,0.99159,11.3,Cl2
a2605,WHI,0.3,0.025,107,0.99159,11.3,Cl2
a2606,WHI,0.2,0.019,28,0.98931,12,Cl2
a2607,WHI,0.2,0.028,157,0.9938,10.6,Cl2
a2608,WHI,0.26,0.024,202,0.99558,10.8,Cl2
a2609,WHI,0.25,0.024,209,0.99563,10.8,Cl2
a2610,WHI,0.2,0.019,28,0.98931,12,Cl2
a2611,WHI,0.27,0.053,177,0.99691,9.4,Cl1
a2612,WHI,0.3,0.038,219,0.9959,9.4,Cl1
a2613,WHI,0.3,0.025,107,0.99159,11.3,Cl2
a2614,WHI,0.36,0.05,140,0.99628,9.4,Cl1
a2615,WHI,0.21,0.021,80,0.99076,12,Cl1
a2616,WHI,0.18,0.039,129,0.99678,10.3,Cl2
a2617,WHI,0.18,0.039,129,0.99678,10.3,Cl2
a2618,WHI,0.18,0.039,129,0.99678,10.3,Cl2
a2619,WHI,0.26,0.026,126,0.99089,11.3,Cl2
a2620,WHI,0.35,0.063,150,0.99537,9.4,Cl2
a2621,WHI,0.28,0.041,144,1.0002,8.7,Cl1
a2622,WHI,0.36,0.05,140,0.99628,9.4,Cl1
a2623,WHI,0.26,0.026,126,0.99089,11.3,Cl2
a2624,WHI,0.18,0.039,129,0.99678,10.3,Cl2
a2625,WHI,0.21,0.021,80,0.99076,12,Cl1
a2626,WHI,0.19,0.033,159,0.99332,8,Cl1
a2627,WHI,0.24,0.033,136,0.99316,10.4,Cl2
a2628,WHI,0.17,0.029,128,0.99272,10.7,Cl2
a2629,WHI,0.24,0.03,219,0.99636,10.2,Cl2
a2630,WHI,0.6,0.044,197,0.99202,10.9,Cl1
a2631,WHI,0.445,0.027,109,0.99148,10.5,Cl2
a2632,WHI,0.28,0.012,100,0.99064,11.7,Cl2
a2633,WHI,0.44,0.065,186,0.99884,8.6,Cl1
a2634,WHI,0.24,0.034,174,0.99773,9,Cl1
a2635,WHI,0.31,0.044,191,1.00013,8.7,Cl1
a2636,WHI,0.32,0.062,87,0.98974,12.8,Cl2
a2637,WHI,0.24,0.034,174,0.99773,9,Cl1
a2638,WHI,0.31,0.044,191,1.00013,8.7,Cl1
a2639,WHI,0.13,0.023,104,0.99112,11.8,Cl2
a2640,WHI,0.14,0.034,84,0.99136,11.6,Cl2
a2641,WHI,0.2,0.028,89,0.99132,11.8,Cl2
a2642,WHI,0.15,0.042,158,0.99642,10.6,Cl1
a2643,WHI,0.23,0.066,91,0.99488,9.7,Cl1
a2644,WHI,0.33,0.047,151,0.99527,10.3,Cl1
a2645,WHI,0.17,0.119,178,0.99578,10.2,Cl2
a2646,WHI,0.12,0.048,113,0.99352,10.1,Cl2
a2647,WHI,0.18,0.046,71,0.99199,10.9,Cl2
a2648,WHI,0.15,0.037,127,0.99198,9.3,Cl1
a2649,WHI,0.23,0.057,144,0.99756,10.2,Cl2
a2650,WHI,0.17,0.119,178,0.99578,10.2,Cl2
a2651,WHI,0.34,0.066,162,0.99561,9.5,Cl1
a2652,WHI,0.68,0.069,146,0.99347,9.3,Cl1
a2653,WHI,0.22,0.018,80,0.98936,12.9,Cl2
a2654,WHI,0.28,0.042,148,0.99786,8.7,Cl1
a2655,WHI,0.4,0.081,303,0.99705,9.4,Cl1
a2656,WHI,0.19,0.034,204,0.9942,10.1,Cl1
a2657,WHI,0.23,0.039,196,0.9948,10,Cl1
a2658,WHI,0.14,0.05,129,0.99116,11.1,Cl2
a2659,WHI,0.15,0.052,158,0.99688,10.3,Cl2
a2660,WHI,0.15,0.033,73,0.98974,12.2,Cl2
a2661,WHI,0.33,0.067,156,0.99542,9.3,Cl2
a2662,WHI,0.3,0.041,178,0.99154,11.3,Cl2
a2663,WHI,0.23,0.043,110,0.99118,10.8,Cl2
a2664,WHI,0.13,0.033,86,0.99044,11.2,Cl3
a2665,WHI,0.21,0.03,91,0.9914,12.5,Cl2
a2666,WHI,0.4,0.05,122,0.9979,9.3,Cl1
a2667,WHI,0.34,0.03,142,0.98892,12.9,Cl2
a2668,WHI,0.12,0.039,131,0.99114,11.2,Cl2
a2669,WHI,0.655,0.039,120,0.99188,12.6,Cl2
a2670,WHI,0.26,0.046,179,0.99583,9.3,Cl1
a2671,WHI,0.34,0.03,142,0.98892,12.9,Cl2
a2672,WHI,0.3,0.03,142,0.98892,12.9,Cl2
a2673,WHI,0.15,0.049,120,0.99704,9.5,Cl2
a2674,WHI,0.37,0.037,24,0.9911,11.9,Cl2
a2675,WHI,0.35,0.032,120,0.99334,10.3,Cl2
a2676,WHI,0.32,0.033,120,0.99334,10.3,Cl2
a2677,WHI,0.1,0.031,93,0.99094,11.2,Cl2
a2678,WHI,0.25,0.03,150,0.99014,12,Cl2
a2679,WHI,0.31,0.042,144,0.99304,9.6,Cl1
a2680,WHI,0.18,0.041,110,0.99652,9.2,Cl2
a2681,WHI,0.17,0.029,119,0.98944,12.9,Cl2
a2682,WHI,0.19,0.061,149,0.99772,9.3,Cl2
a2683,WHI,0.32,0.03,136,0.99367,12.1,Cl2
a2684,WHI,0.31,0.042,144,0.99304,9.6,Cl1
a2685,WHI,0.21,0.026,128,0.99183,11.2,Cl2
a2686,WHI,0.16,0.029,98,0.99126,11.2,Cl2
a2687,WHI,0.17,0.029,119,0.98944,12.9,Cl2
a2688,WHI,0.24,0.042,187,0.99577,9.2,Cl1
a2689,WHI,0.19,0.061,149,0.99772,9.3,Cl2
a2690,WHI,0.18,0.041,110,0.99652,9.2,Cl2
a2691,WHI,0.3,0.041,124,0.99428,9.3,Cl2
a2692,WHI,0.28,0.03,108,0.99388,10.7,Cl2
a2693,WHI,0.31,0.024,166,0.99208,9.8,Cl2
a2694,WHI,0.23,0.036,143,0.99256,10.3,Cl2
a2695,WHI,0.28,0.03,108,0.99388,10.7,Cl2
a2696,WHI,0.23,0.025,121,0.9925,11.3,Cl2
a2697,WHI,0.22,0.048,182,0.99904,8.8,Cl2
a2698,WHI,0.18,0.043,104,0.99216,10.8,Cl1
a2699,WHI,0.31,0.024,166,0.99208,9.8,Cl2
a2700,WHI,0.3,0.041,124,0.99428,9.3,Cl2
a2701,WHI,0.46,0.027,72,0.99165,11.5,Cl2
a2702,WHI,0.23,0.038,133,0.99924,8.8,Cl1
a2703,WHI,0.23,0.038,133,0.99924,8.8,Cl1
a2704,WHI,0.23,0.038,133,0.99924,8.8,Cl1
a2705,WHI,0.26,0.17,201,0.9956,9.4,Cl2
a2706,WHI,0.26,0.171,200,0.99562,9.4,Cl2
a2707,WHI,0.28,0.045,209,0.9972,9.6,Cl2
a2708,WHI,0.23,0.038,133,0.99924,8.8,Cl1
a2709,WHI,0.23,0.044,189,0.9958,9.3,Cl2
a2710,WHI,0.25,0.044,184,0.99976,8.9,Cl1
a2711,WHI,0.25,0.044,184,0.99976,8.9,Cl1
a2712,WHI,0.2,0.049,155,0.99296,10,Cl1
a2713,WHI,0.21,0.045,182,0.9957,9.1,Cl1
a2714,WHI,0.23,0.044,189,0.9958,9.3,Cl2
a2715,WHI,0.24,0.043,188,0.99579,9.4,Cl2
a2716,WHI,0.25,0.04,179,0.99541,10.1,Cl2
a2717,WHI,0.25,0.044,184,0.99976,8.9,Cl1
a2718,WHI,0.16,0.046,143,0.99518,10.8,Cl2
a2719,WHI,0.28,0.028,69,0.99168,10,Cl2
a2720,WHI,0.18,0.029,160,0.99276,10.9,Cl2
a2721,WHI,0.26,0.027,92,0.99085,12,Cl2
a2722,WHI,0.37,0.043,171,0.99873,9.3,Cl1
a2723,WHI,0.4,0.03,101,0.99172,12.3,Cl2
a2724,WHI,0.26,0.038,129,0.99312,10.4,Cl2
a2725,WHI,0.18,0.029,160,0.99276,10.9,Cl2
a2726,WHI,0.23,0.045,153,0.9972,10.5,Cl1
a2727,WHI,0.2,0.036,91,0.99278,9.8,Cl2
a2728,WHI,0.17,0.041,121,0.99092,10.5,Cl2
a2729,WHI,0.35,0.051,213,0.9962,9.9,Cl2
a2730,WHI,0.29,0.035,79,0.99053,11.4,Cl2
a2731,WHI,0.3,0.06,190,0.99858,9.2,Cl1
a2732,WHI,0.51,0.051,173,0.9984,9.7,Cl1
a2733,WHI,0.51,0.049,135,0.99335,10,Cl1
a2734,WHI,0.29,0.035,79,0.99053,11.4,Cl2
a2735,WHI,0.29,0.048,141,0.9949,10.3,Cl2
a2736,WHI,0.35,0.051,213,0.9962,9.9,Cl2
a2737,WHI,0.17,0.041,121,0.99092,10.5,Cl2
a2738,WHI,0.2,0.047,95,0.99532,9.8,Cl2
a2739,WHI,0.615,0.067,131,0.99727,9.3,Cl1
a2740,WHI,0.32,0.034,100,0.99026,12.4,Cl2
a2741,WHI,0.2,0.048,145,0.99668,9.3,Cl2
a2742,WHI,0.615,0.067,131,0.99727,9.3,Cl1
a2743,WHI,0.23,0.048,165,0.9952,9.5,Cl2
a2744,WHI,0.27,0.034,45,0.99144,10.5,Cl2
a2745,WHI,0.27,0.034,45,0.99144,10.5,Cl2
a2746,WHI,0.44,0.032,99,0.99015,12.8,Cl2
a2747,WHI,0.34,0.045,142,0.9914,10.8,Cl2
a2748,WHI,0.26,0.057,127,0.99693,10,Cl2
a2749,WHI,0.17,0.045,170,0.99035,11.8,Cl3
a2750,WHI,0.26,0.057,127,0.99693,10,Cl2
a2751,WHI,0.17,0.045,170,0.99035,11.8,Cl3
a2752,WHI,0.17,0.036,108,0.99006,12,Cl2
a2753,WHI,0.43,0.025,138,0.99126,12.6,Cl2
a2754,WHI,0.315,0.026,70,0.98994,11.9,Cl3
a2755,WHI,0.17,0.027,28,0.98985,10.6,Cl1
a2756,WHI,0.34,0.082,240,0.9971,9.2,Cl1
a2757,WHI,0.33,0.059,240,0.99882,10,Cl2
a2758,WHI,0.12,0.038,97,0.99477,9.2,Cl1
a2759,WHI,0.13,0.039,103,0.99478,9.3,Cl2
a2760,WHI,0.18,0.055,144,0.99576,10.2,Cl2
a2761,WHI,0.16,0.054,148,0.99578,10.2,Cl2
a2762,WHI,0.26,0.06,154,0.99354,8.7,Cl1
a2763,WHI,0.32,0.05,163,0.99244,10.7,Cl1
a2764,WHI,0.3,0.048,119,0.99084,12.1,Cl2
a2765,WHI,0.16,0.05,152,0.99612,9.5,Cl2
a2766,WHI,0.27,0.028,118,0.99356,11.2,Cl2
a2767,WHI,0.16,0.034,95,0.98952,12,Cl2
a2768,WHI,0.16,0.05,152,0.99612,9.5,Cl2
a2769,WHI,0.3,0.048,119,0.99084,12.1,Cl2
a2770,WHI,0.32,0.05,163,0.99244,10.7,Cl1
a2771,WHI,0.44,0.048,228,0.99955,8.8,Cl2
a2772,WHI,0.2,0.052,135,0.99374,10.8,Cl2
a2773,WHI,0.29,0.026,138,0.9892,13.1,Cl2
a2774,WHI,0.39,0.035,93,0.99144,12.5,Cl2
a2775,WHI,0.36,0.045,131,0.99352,11.7,Cl3
a2776,WHI,0.36,0.045,131,0.99352,11.7,Cl3
a2777,WHI,0.36,0.045,135,0.9935,11.6,Cl3
a2778,WHI,0.2,0.043,111,0.99237,11.3,Cl2
a2779,WHI,0.39,0.035,93,0.99144,12.5,Cl2
a2780,WHI,0.2,0.025,103,0.99022,11.4,Cl1
a2781,WHI,0.235,0.036,117,0.99032,12.2,Cl1
a2782,WHI,0.965,0.074,160,1.03898,11.7,Cl2
a2783,WHI,0.2,0.053,211,0.99587,10.4,Cl2
a2784,WHI,0.2,0.053,211,0.99587,10.4,Cl2
a2785,WHI,0.2,0.053,211,0.99587,10.4,Cl2
a2786,WHI,0.24,0.083,157,0.99976,9.1,Cl1
a2787,WHI,0.3,0.034,70,0.99354,12.2,Cl2
a2788,WHI,0.24,0.083,157,0.99976,9.1,Cl1
a2789,WHI,0.4,0.066,176,0.99552,9.4,Cl1
a2790,WHI,0.4,0.065,178,0.99552,9.4,Cl1
a2791,WHI,0.2,0.053,211,0.99587,10.4,Cl2
a2792,WHI,0.25,0.047,189,0.99604,9.2,Cl1
a2793,WHI,0.26,0.046,183,0.99584,9.4,Cl1
a2794,WHI,0.37,0.033,107,0.98894,13.5,Cl2
a2795,WHI,0.35,0.053,151,0.9963,9.4,Cl1
a2796,WHI,0.22,0.028,83,0.993,10.9,Cl3
a2797,WHI,0.37,0.033,107,0.98894,13.5,Cl2
a2798,WHI,0.35,0.053,151,0.9963,9.4,Cl1
a2799,WHI,0.31,0.036,114,0.99068,11.4,Cl2
a2800,WHI,0.16,0.036,125,0.98964,12.4,Cl2
a2801,WHI,0.25,0.047,189,0.99604,9.2,Cl1
a2802,WHI,0.26,0.046,183,0.99584,9.4,Cl1
a2803,WHI,0.15,0.038,79,0.9923,10.5,Cl2
a2804,WHI,0.15,0.031,99,0.99437,11.5,Cl3
a2805,WHI,0.22,0.028,83,0.993,10.9,Cl3
a2806,WHI,0.2,0.04,123,0.99238,10.8,Cl2
a2807,WHI,0.17,0.038,148,0.99801,8.9,Cl1
a2808,WHI,0.18,0.039,151,0.99802,8.9,Cl1
a2809,WHI,0.27,0.042,184,0.99566,9.4,Cl2
a2810,WHI,0.32,0.049,153,0.99067,12.2,Cl2
a2811,WHI,0.26,0.025,100,0.99066,12.1,Cl2
a2812,WHI,0.3,0.03,128,0.9929,10.9,Cl1
a2813,WHI,0.16,0.026,109,0.9934,10.1,Cl2
a2814,WHI,0.32,0.049,153,0.99067,12.2,Cl2
a2815,WHI,0.19,0.032,71,0.98912,13,Cl2
a2816,WHI,0.36,0.038,72,0.99066,11,Cl1
a2817,WHI,0.17,0.052,126,0.99228,10.8,Cl1
a2818,WHI,0.19,0.032,71,0.98912,13,Cl2
a2819,WHI,0.11,0.052,148,0.9958,9.3,Cl1
a2820,WHI,0.21,0.042,123,0.99052,11.4,Cl2
a2821,WHI,0.325,0.152,120,0.99312,9.2,Cl1
a2822,WHI,0.4,0.056,241,0.9968,9.9,Cl1
a2823,WHI,0.2,0.044,150,0.99502,10.5,Cl1
a2824,WHI,0.27,0.04,56,0.99084,12.4,Cl2
a2825,WHI,0.26,0.047,172,0.99573,9.5,Cl2
a2826,WHI,0.25,0.048,161,0.99256,10.5,Cl2
a2827,WHI,0.22,0.053,196,0.9959,9.1,Cl2
a2828,WHI,0.14,0.034,138,0.99084,11.5,Cl2
a2829,WHI,0.14,0.034,138,0.99084,11.5,Cl2
a2830,WHI,0.26,0.044,170,0.99644,11.2,Cl1
a2831,WHI,0.22,0.05,140,0.99526,10.8,Cl1
a2832,WHI,0.45,0.064,186,0.9954,9.4,Cl1
a2833,WHI,0.17,0.031,73,0.99095,11,Cl2
a2834,WHI,0.44,0.048,112,0.99188,11.3,Cl2
a2835,WHI,0.15,0.041,117,0.9909,11.2,Cl2
a2836,WHI,0.25,0.048,161,0.99256,10.5,Cl2
a2837,WHI,0.22,0.053,196,0.9959,9.1,Cl2
a2838,WHI,0.26,0.05,154,0.99581,10.4,Cl2
a2839,WHI,0.15,0.033,82,0.99132,11.2,Cl2
a2840,WHI,0.22,0.034,89,0.98936,11.1,Cl2
a2841,WHI,0.37,0.036,92,0.99136,11.2,Cl2
a2842,WHI,0.375,0.036,98,0.99142,10.5,Cl2
a2843,WHI,0.2,0.047,92,0.99232,10,Cl2
a2844,WHI,0.22,0.046,90,0.99232,10,Cl2
a2845,WHI,0.22,0.049,97,0.993,10.9,Cl1
a2846,WHI,0.22,0.028,87,0.99311,10.9,Cl2
a2847,WHI,0.15,0.033,82,0.99132,11.2,Cl2
a2848,WHI,0.2,0.035,86,0.98993,11.7,Cl1
a2849,WHI,0.31,0.033,144,0.99208,10,Cl1
a2850,WHI,0.43,0.169,210,0.99776,9.5,Cl1
a2851,WHI,0.24,0.053,136,0.99839,9,Cl1
a2852,WHI,0.23,0.052,86,0.99574,10,Cl1
a2853,WHI,0.2,0.041,154,0.99093,11.9,Cl1
a2854,WHI,0.16,0.028,101,0.99156,10.6,Cl2
a2855,WHI,0.21,0.047,101,0.99278,11,Cl2
a2856,WHI,0.33,0.027,143,0.9924,11.2,Cl2
a2857,WHI,0.18,0.034,129,0.98984,12,Cl2
a2858,WHI,0.29,0.027,96,0.99035,12.6,Cl3
a2859,WHI,0.33,0.027,143,0.9924,11.2,Cl2
a2860,WHI,0.21,0.034,113,0.99165,10.5,Cl2
a2861,WHI,0.21,0.037,144,0.9923,10.2,Cl2
a2862,WHI,0.21,0.047,101,0.99278,11,Cl2
a2863,WHI,0.11,0.028,90,0.99008,12.2,Cl2
a2864,WHI,0.15,0.036,76,0.98964,12.3,Cl2
a2865,WHI,0.16,0.028,101,0.99156,10.6,Cl2
a2866,WHI,0.19,0.032,115,0.9909,10.4,Cl2
a2867,WHI,0.18,0.034,129,0.98984,12,Cl2
a2868,WHI,0.48,0.021,121,0.9889,12.7,Cl2
a2869,WHI,0.23,0.018,128,0.99178,10.6,Cl1
a2870,WHI,0.17,0.028,108,0.99076,12.3,Cl2
a2871,WHI,0.48,0.021,121,0.9889,12.7,Cl2
a2872,WHI,0.15,0.037,84,0.99046,11.4,Cl2
a2873,WHI,0.17,0.029,161,0.98999,12,Cl2
a2874,WHI,0.21,0.045,95,0.98946,12.4,Cl3
a2875,WHI,0.23,0.03,121,0.98976,12.1,Cl2
a2876,WHI,0.15,0.037,84,0.99046,11.4,Cl2
a2877,WHI,0.22,0.04,135,0.99672,10.7,Cl1
a2878,WHI,0.15,0.045,162,0.99482,9.3,Cl1
a2879,WHI,0.32,0.027,138,0.98945,12.7,Cl2
a2880,WHI,0.37,0.029,88,0.98883,11.7,Cl2
a2881,WHI,0.25,0.039,64,0.99362,10.7,Cl1
a2882,WHI,0.21,0.033,94,0.99075,11.8,Cl2
a2883,WHI,0.24,0.039,125,0.99436,9.9,Cl1
a2884,WHI,0.475,0.047,81,0.98988,13.4,Cl2
a2885,WHI,0.28,0.032,114,0.99158,12.8,Cl2
a2886,WHI,0.4,0.033,87,0.99265,12.8,Cl2
a2887,WHI,0.41,0.042,101,0.99195,10.5,Cl1
a2888,WHI,0.2,0.032,84,0.99168,11.5,Cl1
a2889,WHI,0.22,0.04,25,0.9918,10.5,Cl1
a2890,WHI,0.36,0.032,132,0.99313,13,Cl2
a2891,WHI,0.285,0.035,138,0.9895,12.4,Cl3
a2892,WHI,0.2,0.041,148,0.9932,10.2,Cl2
a2893,WHI,0.42,0.054,234,0.99848,9,Cl1
a2894,WHI,0.16,0.038,153,0.9909,12,Cl2
a2895,WHI,0.125,0.044,68,0.99014,11.7,Cl2
a2896,WHI,0.44,0.054,180,0.9952,10,Cl1
a2897,WHI,0.31,0.055,218,0.99652,10.3,Cl1
a2898,WHI,0.42,0.054,234,0.99848,9,Cl1
a2899,WHI,0.18,0.032,78,0.99104,11.1,Cl1
a2900,WHI,0.21,0.05,150,0.99772,9,Cl1
a2901,WHI,0.16,0.031,97,0.9922,10.5,Cl2
a2902,WHI,0.22,0.028,92,0.99076,11.9,Cl2
a2903,WHI,0.36,0.036,155,0.99622,9.4,Cl1
a2904,WHI,0.21,0.035,81,0.9902,11.4,Cl2
a2905,WHI,0.25,0.034,114,0.99114,10.8,Cl2
a2906,WHI,0.31,0.073,157,0.9938,9.8,Cl1
a2907,WHI,0.26,0.047,183,0.99594,9.3,Cl1
a2908,WHI,0.21,0.035,81,0.9902,11.4,Cl2
a2909,WHI,0.2,0.031,73,0.99035,11.3,Cl2
a2910,WHI,0.18,0.031,73,0.99032,11.3,Cl2
a2911,WHI,0.37,0.031,170,0.99558,9.5,Cl1
a2912,WHI,0.36,0.036,155,0.99622,9.4,Cl1
a2913,WHI,0.22,0.028,92,0.99076,11.9,Cl2
a2914,WHI,0.18,0.046,199,0.99413,9.3,Cl1
a2915,WHI,0.14,0.041,81,0.99043,11.4,Cl2
a2916,WHI,0.14,0.041,81,0.99043,11.4,Cl2
a2917,WHI,0.44,0.053,128,0.98982,12.7,Cl2
a2918,WHI,0.36,0.033,118,0.98934,13.5,Cl2
a2919,WHI,0.28,0.019,65,0.9902,11.2,Cl2
a2920,WHI,0.16,0.038,118,0.99449,10.7,Cl1
a2921,WHI,0.28,0.032,92,0.99629,10.8,Cl1
a2922,WHI,0.39,0.054,202,0.9948,10.5,Cl2
a2923,WHI,0.44,0.014,137,0.98984,13,Cl3
a2924,WHI,0.22,0.029,131,0.99326,10.8,Cl2
a2925,WHI,0.22,0.046,118,0.99834,9.1,Cl2
a2926,WHI,0.25,0.038,196,0.99555,10.1,Cl1
a2927,WHI,0.155,0.028,59,0.98975,11.9,Cl3
a2928,WHI,0.31,0.036,140,0.99216,12,Cl2
a2929,WHI,0.31,0.036,140,0.99216,12,Cl2
a2930,WHI,0.22,0.046,118,0.99834,9.1,Cl2
a2931,WHI,0.21,0.041,147,0.9901,11.6,Cl3
a2932,WHI,0.155,0.028,59,0.98975,11.9,Cl3
a2933,WHI,0.25,0.038,192,0.99573,10.2,Cl2
a2934,WHI,0.22,0.029,131,0.99326,10.8,Cl2
a2935,WHI,0.21,0.028,66,0.99215,9.8,Cl1
a2936,WHI,0.27,0.023,89,0.98993,11.4,Cl1
a2937,WHI,0.17,0.03,68,0.99218,9.8,Cl1
a2938,WHI,0.25,0.038,196,0.99555,10.1,Cl1
a2939,WHI,0.12,0.039,98,0.99564,9.8,Cl3
a2940,WHI,0.12,0.039,98,0.99564,9.8,Cl3
a2941,WHI,0.29,0.036,128,0.99397,10.7,Cl2
a2942,WHI,0.3,0.022,111,0.99576,10.6,Cl1
a2943,WHI,0.26,0.037,173,0.99601,9.3,Cl1
a2944,WHI,0.12,0.039,98,0.99564,9.8,Cl3
a2945,WHI,0.29,0.036,128,0.99397,10.7,Cl2
a2946,WHI,0.33,0.016,150,0.98713,14,Cl3
a2947,WHI,0.29,0.026,107,0.99308,11,Cl2
a2948,WHI,0.29,0.026,107,0.99308,11,Cl2
a2949,WHI,0.26,0.049,182,0.99582,9.4,Cl2
a2950,WHI,0.28,0.078,139,0.99494,9,Cl2
a2951,WHI,0.28,0.042,108,0.9929,9,Cl1
a2952,WHI,0.2,0.044,101,0.99471,10,Cl1
a2953,WHI,0.27,0.041,109,0.9929,9,Cl1
a2954,WHI,0.28,0.042,108,0.9929,9,Cl1
a2955,WHI,0.29,0.036,79,0.99037,12.4,Cl2
a2956,WHI,0.35,0.042,123,0.99304,11.3,Cl1
a2957,WHI,0.12,0.034,86,0.99026,12,Cl2
a2958,WHI,0.12,0.031,94,0.98986,11.7,Cl2
a2959,WHI,0.2,0.044,101,0.99471,10,Cl1
a2960,WHI,0.4,0.016,90,0.98951,13.2,Cl2
a2961,WHI,0.11,0.04,114,0.99634,11,Cl2
a2962,WHI,0.23,0.03,114,0.99368,11,Cl2
a2963,WHI,0.38,0.112,94,0.99792,9.2,Cl1
a2964,WHI,0.38,0.021,113,0.99026,13,Cl2
a2965,WHI,0.19,0.044,128,0.99362,10.6,Cl1
a2966,WHI,0.34,0.021,119,0.98919,13,Cl3
a2967,WHI,0.23,0.051,118,0.99835,9,Cl2
a2968,WHI,0.23,0.051,118,0.99835,9,Cl2
a2969,WHI,0.31,0.021,148,0.99038,11.5,Cl1
a2970,WHI,0.2,0.025,76,0.99104,11,Cl2
a2971,WHI,0.31,0.021,148,0.99038,11.5,Cl1
a2972,WHI,0.26,0.05,112,0.99286,9.9,Cl1
a2973,WHI,0.22,0.039,128,0.99296,10.4,Cl2
a2974,WHI,0.23,0.051,118,0.99835,9,Cl2
a2975,WHI,0.19,0.056,110,0.9954,9.9,Cl2
a2976,WHI,0.14,0.045,162,0.9914,11,Cl2
a2977,WHI,0.32,0.026,124,0.99286,12.1,Cl2
a2978,WHI,0.23,0.044,131,0.99604,9.7,Cl2
a2979,WHI,0.23,0.044,131,0.99604,9.7,Cl2
a2980,WHI,0.36,0.034,123,0.99119,12.2,Cl2
a2981,WHI,0.38,0.016,113,0.99007,12.4,Cl2
a2982,WHI,0.23,0.033,97,0.99507,10.5,Cl2
a2983,WHI,0.2,0.05,213,0.99596,10.4,Cl2
a2984,WHI,0.26,0.029,180,0.99011,12,Cl2
a2985,WHI,0.3,0.037,28,0.99184,12.7,Cl2
a2986,WHI,0.18,0.039,115,0.99469,10.9,Cl2
a2987,WHI,0.18,0.039,115,0.99469,10.9,Cl2
a2988,WHI,0.18,0.039,113,0.99406,10.9,Cl2
a2989,WHI,0.19,0.034,103,0.99305,11.4,Cl2
a2990,WHI,0.16,0.036,184,0.99096,11,Cl2
a2991,WHI,0.27,0.032,178,0.98956,12.6,Cl2
a2992,WHI,0.37,0.034,152,0.9921,11.6,Cl2
a2993,WHI,0.2,0.038,130,0.99496,10.5,Cl2
a2994,WHI,0.18,0.039,113,0.99406,10.9,Cl2
a2995,WHI,0.18,0.039,113,0.99406,10.9,Cl2
a2996,WHI,0.28,0.037,119,0.9888,12.5,Cl2
a2997,WHI,0.35,0.034,111,0.98942,12.1,Cl3
a2998,WHI,0.25,0.035,158,0.99082,11.3,Cl2
a2999,WHI,0.32,0.025,112,0.98802,13.3,Cl2
a3000,WHI,0.18,0.039,113,0.99406,10.9,Cl2
a3001,WHI,0.18,0.039,115,0.99469,10.9,Cl2
a3002,WHI,0.2,0.038,130,0.99496,10.5,Cl2
a3003,WHI,0.37,0.034,152,0.9921,11.6,Cl2
a3004,WHI,0.19,0.034,103,0.99305,11.4,Cl2
a3005,WHI,0.18,0.034,111,0.99074,11,Cl2
a3006,WHI,0.3,0.037,156,0.98968,12.1,Cl2
